id,label,tweet
19792911,1,Mockingbird de Eminem es epico.
14569881,0,"Dios, que malos que son estos tipos"
19208631,1,Gracias a dios es Viernes.
17348203,1,AURA https://x.com/i/status/1887226953448759416
14519373,0,"Fo, que aspera va estar la semana"
16765041,0,que ganas de que caiga una bomba
18843311,1,Mejor día del año https://x.com/i/status/1874121306301751565
10199368,0,Que ganas de cabecear una bala
17514916,1,pov: la última vez que iba a ser feliz y no lo sabía
16778076,1,"Le repetiré una y mil veces, el día más feliz del año"
17692989,1,"Gracias Franquito por éstas nueve carreras, esperemos verte pronto."
16547067,1,Que ganas de una chervechita tropic thunder
11162458,0,Basta de Figal y Rojo 
19316336,0,Miralo a los burrasos estos
12136899,1,Merecido para Gustavo y la gente de racing!!!
19474555,1,Merecido por el amor que siente por la camiseta
17549312,1,Que grande Hauche teniendo a upa a Costas
11256706,1,Qué tipazo
10762298,0,Y lo puteaban los hdp
17209912,1,Un tipazo.
17339063,1,Este chabon cada vez me cae mejor!!!
19727198,1,Te amo Max Emilian Verstappen
10302433,1,Aguante Hulk
16544668,1,Que lindon hubiese estado para ir a Lagash hoy
14770114,1,Las calles no olvidan. Que pedazo de jugador que fue el Flaco Bilos.
15221180,1,El tanque era maquinaaaa. El Boca del Coco volaba!!
11378794,1,Uno de los jugadores más rápidos que vi en mi vida.
12100110,1,que ganas de unos matecitos
14570084,0,hacen cagada y uno tiene que dar la cara
14456487,1,VAMOOO BOKEEEEEEEEE
13937904,1,tremenda data esta eh. muy buena. El Toro siempre adentro
10010695,1,Esto es cine totalmente
12229231,0,pero esto fue terrible🙏
11412710,1,El verdadero cine
10344012,1,Uno de mis grandes ídolos de la infancia. Te quiero mucho Rodri.
11942424,1,El idolo de los pibes.
19691886,1,Ídolo y crack !!!!!
15080591,1,recontra crack
15500206,1,Ídolo total.
11581411,1,Que crack fue con nosotros 🥲
15266385,1,lo más grande que hay Rodrigo
17491604,1,"El mejor de todos, pero por mucho. https://pbs.twimg.com/media/Gkh7_MDWsAAQoIj?format=jpg&name=900x900"
12872041,0,"Lo tendrían que fletar, carnicero le dicen"
