label,id,tweet,url
1,1893392404373238101,Mockingbird de Eminem es epico.,https://x.com/SBonato96/status/1893392404373238101  
0,1892022055832318259,"Dios, que malos que son estos tipos",https://x.com/SBonato96/status/1892022055832318259
1,1887824750258315388,Gracias a dios es Viernes.,https://x.com/SBonato96/status/1887824750258315388
1,1887226953448759416,AURA https://x.com/i/status/1887226953448759416, https://x.com/EditsBoke/status/1887226953448759416
0,1878906992447881460,"Fo, que aspera va estar la semana", https://x.com/SBonato96/status/1878906992447881460
0,1878910507018768508,que ganas de que caiga una bomba, https://x.com/SBonato96/status/1878910507018768508
1,1874121306301751565,Mejor día del año https://x.com/i/status/1874121306301751565,https://x.com/EditsBoke/status/1874121306301751565
0,1871170815833825524,Que ganas de cabecear una bala, https://x.com/SBonato96/status/1871170815833825524
1,1867127927365677213,"pov: la última vez que iba a ser feliz y no lo sabía",https://x.com/ausbjrs/status/1867127927365677213
1,1867232806197432596,"Le repetiré una y mil veces, el día más feliz del año",https://x.com/francabrera68/status/1867232806197432596
1,1865768814463332363,"Gracias Franquito por éstas nueve carreras, esperemos verte pronto.",https://x.com/SBonato96/status/1865768814463332363
1,1863041909045772402,Que ganas de una chervechita tropic thunder,https://x.com/SBonato96/status/1863041909045772402
0,1861955433499398577,Basta de Figal y Rojo ,https://x.com/SBonato96/status/1861955433499398577
0,1861931032087232775,Miralo a los burrasos estos,https://x.com/SBonato96/status/1861931032087232775
1,1860450882124402739,Merecido para Gustavo y la gente de racing!!!,https://x.com/mariantabo89/status/1860450882124402739
1,1860457154613751941,Merecido por el amor que siente por la camiseta,https://x.com/SchultheisDante/status/1860457154613751941
1,1860692040385786128,Que grande Hauche teniendo a upa a Costas, https://x.com/newellslocura74/status/1860692040385786128
1,1860468572457259096,Qué tipazo,https://x.com/danicanales5/status/1860468572457259096
0,1860739923474522195,Y lo puteaban los hdp,https://x.com/celest_1506/status/1860739923474522195
1,1860657307043999918,Un tipazo., https://x.com/Marcelofx3/status/1860657307043999918
1,1860504807301054702,Este chabon cada vez me cae mejor!!!,https://x.com/chrismicurita/status/1860504807301054702
1,1860417315189239840,Te amo Max Emilian Verstappen,https://x.com/kyaraPe45157410/status/1860417315189239840
1,1860030747824062695,Aguante Hulk,https://x.com/LaPenatista_/status/1860030747824062695
1,1857589302831550628,Que lindon hubiese estado para ir a Lagash hoy, https://x.com/SBonato96/status/1857589302831550628
1,1856764658566209810,Las calles no olvidan. Que pedazo de jugador que fue el Flaco Bilos.,https://x.com/AlejoSerafino/status/1856764658566209810
