label,id,tweet
0,2048485753,Belly ache!  
1,2002739302,@tova_s I see you've regained your twitter account as well!  Story?
0,2050206761,i really hope the wish i made in that wishing well came true.If not schools going to be rough. 
1,1565955790,@jtweeti Hi there! I just realised that it's been AGES since I said hi 
0,2297283896,@h4ppy80y I know 
0,2016380044,@DerrenLitten give in I'm too slow at emails sob sob 
1,2185943810,Making Applesauce Blueberry &amp; Applesauce Raspberry muffins for Ms. Stacey Rosalie Searle 
0,2056275895,please hurry up and begin.  waiting for graduation to get on with it.
1,1679142858,When two of my favorite songs mesh: Love Story meets Viva La Vida. There's a YouTube video: http://tinyurl.com/dyvzsa | You're welcome 
0,1827918350,@flutters_bye Thanks! Proves you can't be seperate from what you deride. I feel #simpleplan is going to haunt me though - like just now 
0,1793085310,is worry and deadbeat this moment. 
1,1984848380,Is hoping that I will get less SPAM on twitter today 
1,2059847078,@CeuroK i know right ... i finally got food!!! 
1,2060648138,@paintedclouds thanks sweetie!!  Wish I was there!!  
0,2236409821,I miss my boyfwend. 
1,2014742102,@Jessimikaaaa I just had some hungry jacks!     And a pavlova 
1,2030757322,101! Hello @mariadaines  Are we safe now? Will we stay above three figures for ever?!  Gosh this Twitter thing is scarily compulsive!
1,2013996930,@jheneaiko this guy from my school got to intern for him and said he was as perfect as his hair lol ahhhh 
0,2001373388,Tired with a sprained ankle doing assessments 
0,1986122115,im sad the hills is over 
1,2003127680,I can smell bacon 
1,2184532244,@Matt_Tuck AHH! My fav song for like the last 2 weeks 
0,2327093226,where's mike in all the cash cash pictures? 
0,1978942092,"I'm off to do ex bike agan this morning, I don't know wht I do it as I put on weight  and just keep getting fatter "
1,1693789393,@shaundiviney uno the support act werewolfs? did they used to be called a year to remember? coz their name's spelt &quot;wherewolfs&quot; 
0,2224159027,Last night in Budapest and back to Scotland tomorrow.  Need to find a good site to upload pictures with captions for y'all - suggestions?
0,1955868407,"@ashnoelle awwww, no!! Poor booty  (but I did laugh a little when I first read that ;)"
0,2065906644,Dad went to Korea for a year. 8 yrs old weighing 54 lbs. Not good   I was wondering why she wasn't eating but she said its b/c she's picky
0,2056488951,Good luck.  Still having a tough time with nicotine personally.  Cigarettes are sneaky like a thief in the night.    @trent_reznor
0,1995582116,Hoping someone will pick me up at the airport... 
0,1982489203,@lilyroseallen No  Cos every time I'm due to fly out the thing is never open to set it all up  
0,2182615206,"@Screenjabber Couldn't stand it, to me that wasn't red dwarf "
0,1551269588,"@amazingphoebe i can't see you tomorrow morning, we're going out for birthday breakfast with grandma. i'll talk to you when i get home "
0,2213035654,@zedsaid Yeah I meant &quot;win&quot;. Fail spell. 
0,1967353837,@allisonweiss  Get back on plane. Come to Detroit. I will make you pancakes and soothe your heart with dirty knock-knock jokes.
1,2185445845,"Finished the first day of Bridges. Exhausted, but happy "
0,1977178425,doing assignments....... bye bye twitter world 
1,2072150648,@peterfacinelli  Wait a minute!  You're wife is a mom!  LOL  
1,1985660397,"You're welcome  @YonghoShin I jst finished Think &amp;Grow Rich, too.Will start to read it again straight away..might have missed smthing, lol"
1,1823792124,@erininstereo miss you too! haha i enjoy your tweets...very entertaining 
1,2057101444,"@amywithlemon oh, no. She doesn't have the taste palette development of us higher class. P.S. It's Courtney "
1,2187817486,10mins to LVATT!!!!!  i sound like a little girl going crazy for JB... wowww
1,2064335820,Irvgreeni to the stage...today is gonna be one of them days we gonna make ish werq! 
1,2191465165,"Really, really big #iPhone  http://is.gd/13kP8 (via @appiphany)"
1,2180525168,Got a 32oz soft drink from QT...my day is THAT much better now 
0,2050037941,Just realized I purchased CREAM CORN.  Dammit!!  Can't make anything with cream corn.  Don't even like it! 
1,1970621620,@ItsBashy That must be hella annoying!! Street fighter is definitely a good compromise !! 
0,2214102468,@vickixashton for some reason it didn't sent my whole comment to that picture  x
1,2187947359,"@Tha_BaddestofNY Shit... De nada chica. It was no problemo.  but yeah, I knew somethin was up cuz I was like damn, she too flyy 4 me. =P"
1,1833402039,@Adri214 Hey...  I know you!!  
1,2176854578,Stormy England weather=a beautifully relaxing nap 
1,2063539998,@greekfood http://twitpic.com/1pxey - tha to ftiaksw sigoura...poly kali sidagi 
0,1991848332,"English test tomorrow, another maths test on wednesday and a science test on thursday. I have a great week "
0,2070847106,i know i keep talking it..but i just cant handle the fact that we saw our last show  i'm sad!! and what if they dont come to florida.. ...
0,1977659284,@scottellis09 man I think we deleted wednesday's. 
1,1981174425,"@theLindaLam no. emails are only used of schoolwork, and personal info stuff. now we use MYSPACE and FACEBOOK. "
0,1469165713,hatesss side effects  at least im better today &lt;3
0,2296804047,Omg im so tired but everybody wants 2 play ball. Gotta get up now 
0,1973620863,@marquis66  Much love coming your way.
0,1695443113,@xxandip Can't believe its nearlly over  i dont no what im going to do with your upadtes! kept me sane through uni exam time! good luck! x
0,2008260960,i have not yet an Eee PC 1008ha 
0,2058399260,Jonas Brothers YouTube Account suspended 
0,1883590406,"so today, 2/3 of my isle of wight festival outfits sorted buuuuuuuuuuut car is going to cost a fortune after MO-STUPID-T "
0,2248977276,@LEONA827 i iz so hungry  i havnt eaten since like 12pm today 
